0 , [ 20, 8.8778779996468, 0.10085039567686, 1 ] 
1 , [ 15, 8.8778779996468, 0.10085039567686, 1 ] 
2 , [ 22.857239748101, 4.2364633191205, 0.10085039567686, 3 ] 
3 , [ 22.857239748101, 38.407389544545, 0.10085039567686, 2 ] 
4 , [ 22.857239748101, 100, 0.10085039567686, 1 ] 
5 , [ 40, 0, 0.10085039567686, 3 ] 
6 , [ 40, 12.630183885416, 0.10085039567686, 2 ] 
7 , [ 27.301171330801, 12.630183885416, 0.10085039567686, 2 ] 
8 , [ 27.301171330801, 55.700909656351, 0.10085039567686, 2 ] 
9 , [ 40, 12.732863504549, 0.10085039567686, 2 ] 
10 , [ 40, 78.46311689378, 0.10085039567686, 1 ] 
11 , [ 40, 100, 0.10085039567686, 1 ] 
12 , [ 30.576353668088, 4.1701490260003, 0.10085039567686, 1 ] 
13 , [ 30.576353668088, 21.731476302578, 0.10085039567686, 2 ] 
14 , [ 280, 0, 0.10085039567686, 3 ] 
15 , [ 280, 0, 0.34575656659981, 3 ] 
16 , [ 280, 4.1324792658334, 0.05, 2 ] 
17 , [ 280, 54.428288828301, 0.05, 2 ] 
18 , [ 296.12106461486, 2.6249945503661, 0.05, 2 ] 
19 , [ 296.12106461486, 100, 0.05, 2 ] 
20 , [ 327.6574263073, 1.0305666462275, 0.05, 2 ] 
21 , [ 327.6574263073, 0, 0.05, 3 ] 
22 , [ 327.6574263073, 1.3855017059026, 0.05, 3 ] 
23 , [ 327.6574263073, 1.8807888541668, 0.05, 3 ] 
24 , [ 327.6574263073, 2, 0.05, 2 ] 
25 , [ 327.6574263073, 5.9357495645284, 0.05, 2 ] 
26 , [ 327.6574263073, 10, 0.05, 2 ] 
27 , [ 350, 0, 0.05, 3 ] 
28 , [ 350, 6.3268523697422, 0.05, 2 ] 
29 , [ 350, 8, 0.05, 2 ] 
30 , [ 350, 10, 0.05, 2 ] 
