0 , [ 50, 0, 0.19384129911335, 1 ] 
1 , [ 50, 100, 0.19384129911335, 1 ] 
2 , [ 50, 49.265800612745, 0.19384129911335, 1 ] 
3 , [ 50, 88.855017059026, 0.19384129911335, 1 ] 
4 , [ 50, 65, 0.19384129911335, 1 ] 
5 , [ 100, 101.4163443356, 0.19384129911335, 2 ] 
6 , [ 100, 200, 0.19384129911335, 2 ] 
7 , [ 100, 180, 0.19384129911335, 2 ] 
8 , [ 100, 149.13247926583, 0.19384129911335, 2 ] 
9 , [ 100, 132.17628512233, 0.19384129911335, 2 ] 
10 , [ 100, 167.60509784892, 0.19384129911335, 2 ] 
11 , [ 200, 202.08461257915, 0.057635366808795, 3 ] 
12 , [ 200, 233.26852369742, 0.057635366808795, 3 ] 
13 , [ 200, 235.9087703313, 0.057635366808795, 3 ] 
14 , [ 200, 247.62499455037, 0.057635366808795, 3 ] 
15 , [ 200, 263.84392358036, 0.057635366808795, 3 ] 
16 , [ 200, 300, 0.057635366808795, 3 ] 
17 , [ 200, 268.08203758185, 0.057635366808795, 3 ] 
