0 , [ 50, 0, 0.12987496324859, 1 ] 
1 , [ 50, 18.877846445523, 0.12987496324859, 1 ] 
2 , [ 50, 48.940056626712, 0.12987496324859, 1 ] 
3 , [ 50, 77.886602751363, 0.12987496324859, 1 ] 
4 , [ 50, 100, 0.12987496324859, 1 ] 
5 , [ 100, 100, 0.12987496324859, 2 ] 
6 , [ 100, 120, 0.12987496324859, 2 ] 
7 , [ 100, 150, 0.12987496324859, 2 ] 
8 , [ 100, 200, 0.12987496324859, 2 ] 
9 , [ 200, 200, 0.12987496324859, 3 ] 
10 , [ 200, 250, 0.12987496324859, 3 ] 
11 , [ 200, 264.34168866304, 0.12987496324859, 3 ] 
12 , [ 200, 299.59386574522, 0.12987496324859, 3 ] 
13 , [ 200, 205.76353668088, 0.11852015073194, 3 ] 
